title,year,director,image,excerpt
Man with a Movie Camera,1929,Dziga Vertov,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Man_with_a_Movie_Camera_poster.jpg/800px-Man_with_a_Movie_Camera_poster.jpg,Experimental Soviet documentary pioneering innovative editing and in-camera effects. Influenced documentary and experimental cinema.
Lights of New York,1928,Bryan Foy,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Lights_of_New_York_1928.jpg/800px-Lights_of_New_York_1928.jpg,First all-talkie feature. Accelerated industry transition to sound and rendered silent film stars obsolete.
City Lights,1931,Charlie Chaplin,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/City_Lights_1931.jpg/800px-City_Lights_1931.jpg,Silent film during sound era proving silent cinema still had power. Combined physical comedy with genuine pathos.
M,1931,Fritz Lang,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/M_1931_poster.jpg/800px-M_1931_poster.jpg,Sound film using audio innovatively with leitmotif and suspenseful sound design. Established psychological thriller conventions.
Frankenstein,1931,James Whale,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Frankenstein_1931_poster.jpg/800px-Frankenstein_1931_poster.jpg,Horror film establishing Universal's monster movies. Boris Karloff's sympathetic creature proved horror commercially viable.
Dracula,1931,Tod Browning,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Dracula_1931_poster.jpg/800px-Dracula_1931_poster.jpg,Early sound horror with Bela Lugosi and atmospheric cinematography. Launched Universal monster cycle and vampire conventions.
Vampyr,1932,Carl Theodor Dreyer,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Vampyr_1932_poster.jpg/800px-Vampyr_1932_poster.jpg,Impressionistic vampire film with avant-garde style. Demonstrated horror could be artistic and atmospheric.
Land of the Pharaohs,1955,Howard Hawks,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Land_of_the_Pharaohs.jpg/800px-Land_of_the_Pharaohs.jpg,Technicolor epic demonstrating vibrant color enhancement. Made color cinematography central to blockbusters.
The Maltese Falcon,1941,John Huston,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/The_Maltese_Falcon_1941.jpg/800px-The_Maltese_Falcon_1941.jpg,Noir masterpiece establishing genre conventions. Launched Humphrey Bogart's major star career.
Citizen Kane,1941,Orson Welles,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Citizen_Kane_poster.jpg/800px-Citizen_Kane_poster.jpg,Revolutionary debut with deep focus and non-linear storytelling. Often considered greatest film ever made.
Casablanca,1942,Michael Curtiz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Casablanca_1942_poster.jpg/800px-Casablanca_1942_poster.jpg,Wartime romantic drama becoming cultural icon. Proved Hollywood could produce both commercial and artistic entertainment.
Bicycle Thieves,1948,Vittorio De Sica,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Bicycle_Thieves_poster.jpg/800px-Bicycle_Thieves_poster.jpg,Italian neorealist masterpiece with non-professional actors and real locations. Established neorealism movement internationally.
The Third Man,1949,Carol Reed,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/The_Third_Man_poster.jpg/800px-The_Third_Man_poster.jpg,Post-war thriller with innovative cinematography and zither score. Influenced noir and psychological thrillers.
Singin' in the Rain,1952,Gene Kelly & Stanley Donen,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Singin_in_the_rain.jpg/800px-Singin_in_the_rain.jpg,Musical masterpiece with innovative choreography. Elevated musical genre and proved cinema's dance potential.
Tokyo Story,1953,Yasujirō Ozu,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Tokyo_Story_1953.jpg/800px-Tokyo_Story_1953.jpg,Contemplative family drama with distinctive visual style. Established Japanese cinema as serious artistic force.
Seven Samurai,1954,Akira Kurosawa,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Seven_Samurai_1954_poster.jpg/800px-Seven_Samurai_1954_poster.jpg,Epic action film achieving international success. Innovative action choreography influenced global cinema.
Vertigo,1958,Alfred Hitchcock,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Vertigo_1958_poster.jpg/800px-Vertigo_1958_poster.jpg,Psychological thriller featuring dolly zoom technique. Increasingly recognized as greatest film achievement.
The 400 Blows,1959,François Truffaut,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/The_400_Blows_1959.jpg/800px-The_400_Blows_1959.jpg,French New Wave debut establishing cinema for personal expression. Influenced generations of independent filmmakers.
Breathless,1960,Jean-Luc Godard,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Breathless_1960_poster.jpg/800px-Breathless_1960_poster.jpg,Radical experiment with jump cuts and unconventional narrative. Liberated filmmakers to experiment with form.
Psycho,1960,Alfred Hitchcock,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Psycho_Poster.jpg/800px-Psycho_Poster.jpg,Horror revolution with shocking violence and iconic shower scene. Set new standards for cinematic violence.
Lawrence of Arabia,1962,David Lean,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Lawrence_of_Arabia_poster.jpg/800px-Lawrence_of_Arabia_poster.jpg,Epic masterpiece with sweeping cinematography. Proved ambitious historical dramas could be both artistic and financial successes.
8½,1963,Federico Fellini,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/8_1_2_poster.jpg/800px-8_1_2_poster.jpg,Semi-autobiographical exploration of cinema and identity. Demonstrated cinema's psychological and artistic potential.
The Godfather,1972,Francis Ford Coppola,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Godfather_ver1.jpg/800px-Godfather_ver1.jpg,Crime epic establishing moral ambiguity in gangster cinema. Proved serious adult narratives could be blockbusters.
2001: A Space Odyssey,1968,Stanley Kubrick,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/2001_A_Space_Odyssey.jpg/800px-2001_A_Space_Odyssey.jpg,Philosophical science fiction pushing technical and thematic boundaries. Explored consciousness and artificial intelligence.
Jaws,1975,Steven Spielberg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Jaws_movie_poster.jpg/800px-Jaws_movie_poster.jpg,Summer blockbuster that invented the event film. Fundamentally transformed industry marketing and strategy.
Taxi Driver,1976,Martin Scorsese,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Taxi_Driver_poster.jpg/800px-Taxi_Driver_poster.jpg,New Hollywood urban thriller with gritty realism. Influenced crime and thriller genres significantly.
Star Wars,1977,George Lucas,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Star_Wars_A_New_Hope_poster.jpg/800px-Star_Wars_A_New_Hope_poster.jpg,Space opera revolutionizing effects and blockbuster cinema. Established merchandising as major industry revenue.
Close Encounters of the Third Kind,1977,Steven Spielberg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Close_Encounters_poster.jpg/800px-Close_Encounters_poster.jpg,Science fiction exploring communication and wonder. Demonstrated blockbuster cinema could be philosophically ambitious.
Stalker,1979,Andrei Tarkovsky,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Stalker_1979_poster.jpg/800px-Stalker_1979_poster.jpg,Soviet science fiction exploring desire and meaning. Influenced art cinema and philosophical filmmaking globally.
Raiders of the Lost Ark,1981,Steven Spielberg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Raiders_of_the_Lost_Ark_poster.jpg/800px-Raiders_of_the_Lost_Ark_poster.jpg,Adventure serial establishing action-adventure templates. Proved classical storytelling remained commercially viable.
Blade Runner,1982,Ridley Scott,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Blade_Runner_poster_1982.jpg/800px-Blade_Runner_poster_1982.jpg,Dystopian cyberpunk establishing aesthetic and philosophical questions. Increasingly recognized as science fiction masterpiece.
The Breakfast Club,1985,John Hughes,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/The_Breakfast_Club_poster.jpg/800px-The_Breakfast_Club_poster.jpg,Teen drama capturing adolescent alienation authentically. Influenced coming-of-age storytelling and established brat pack era.
Back to the Future,1985,Robert Zemeckis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Back_to_the_Future_poster.jpg/800px-Back_to_the_Future_poster.jpg,Time-travel comedy perfecting action and humor blend. Demonstrated imaginative science fiction comedy viability.
Platoon,1986,Oliver Stone,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Platoon_poster.jpg/800px-Platoon_poster.jpg,Vietnam War film bringing personal perspective with authentic combat. Established new realism standards in war cinema.
Akira,1987,Katsuhiro Ōtomo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Akira_1987_poster.jpg/800px-Akira_1987_poster.jpg,Anime revolutionizing animation with cyberpunk aesthetics. Proved animation serious artistic medium globally.
Terminator 2: Judgment Day,1991,James Cameron,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Terminator_2_Judgment_Day.jpg/800px-Terminator_2_Judgment_Day.jpg,CGI revolution with liquid metal effects. Set standards for blending practical and digital effects.
Jurassic Park,1993,Steven Spielberg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Jurassic_Park_poster.jpg/800px-Jurassic_Park_poster.jpg,Dinosaur blockbuster combining practical and CGI effects. Validated digital effects in major studio productions.
Pulp Fiction,1994,Quentin Tarantino,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Pulp_Fiction_poster.jpg/800px-Pulp_Fiction_poster.jpg,Independent cinema reinvigoration with non-linear narrative. Proved small-budget independents could achieve massive success.
The Matrix,1999,Lana & Lilly Wachowski,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/The_Matrix_poster.jpg/800px-The_Matrix_poster.jpg,Action revolution with bullet time effects. Influenced blockbuster filmmaking and science fiction cinema deeply.
Crouching Tiger Hidden Dragon,2000,Ang Lee,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Crouching_Tiger_Hidden_Dragon_poster.jpg/800px-Crouching_Tiger_Hidden_Dragon_poster.jpg,Martial arts cinema achieving Western mainstream success. Demonstrated global appeal of Asian cinema.
Memento,2000,Christopher Nolan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Memento_poster.jpg/800px-Memento_poster.jpg,Innovative non-linear thriller with reverse chronology. Demonstrated complex narrative structures could engage mainstream audiences.
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Eternal_Sunshine_Spotless_Mind_poster.jpg/800px-Eternal_Sunshine_Spotless_Mind_poster.jpg,Innovative science fiction with emotional depth. Influenced independent filmmaking and visual storytelling.
Inception,2010,Christopher Nolan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Inception_poster.jpg/800px-Inception_poster.jpg,Complex blockbuster with philosophical questions. Proved sophisticated intellectually demanding films could be commercial successes.
Avatar,2009,James Cameron,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Avatar_2009_poster.jpg/800px-Avatar_2009_poster.jpg,3D cinema revolution becoming highest-grossing film. Established 3D as significant blockbuster factor.
Sight and Sound,1929,Paul Rotha,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Sight_and_Sound_1929.jpg/800px-Sight_and_Sound_1929.jpg,Documentary on film craft and technical mastery.
Shadow of a Doubt,1943,Alfred Hitchcock,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Shadow_of_a_Doubt_1943.jpg/800px-Shadow_of_a_Doubt_1943.jpg,Psychological thriller examining American small-town darkness. Hitchcock's personal favorite among his films.
The Lady Eve,1941,Preston Sturges,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/The_Lady_Eve_1941.jpg/800px-The_Lady_Eve_1941.jpg,Screwball comedy masterpiece with clever plotting. Demonstrated sophisticated comedic storytelling.
The Sunset Boulevard,1950,Billy Wilder,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Sunset_Boulevard_1950.jpg/800px-Sunset_Boulevard_1950.jpg,Hollywood noir exploring dark side of cinema. Influenced subsequent Hollywood deconstruction films.
Some Like It Hot,1959,Billy Wilder,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Some_Like_It_Hot_1959.jpg/800px-Some_Like_It_Hot_1959.jpg,Comedy masterpiece blending humor with cross-dressing. Often cited as greatest comedy ever made.
the tramp,1915,,https://upload.wikimedia.org/wikipedia/commons/0/00/Charlie_Chaplin.jpg,"The Tramp, also known as the Little Tramp, was English actor Charlie Chaplin's most memorable on-screen character and an icon in world cinema during the era of silent film. The Tramp is also the title of a silent film starring Chaplin, which Chaplin wrote and directed in 1915."
the vagabond,1916,,https://upload.wikimedia.org/wikipedia/commons/e/e0/The_Vagabond_%281916%29.jpg,"The Vagabond is a 1916 American silent romantic comedy film by Charlie Chaplin and his third film with Mutual Films. Released to theaters on July 10, 1916, it co-starred Edna Purviance, Eric Campbell, Leo White and Lloyd Bacon. This film echoed Chaplin's work on The Tramp, with more drama and pathos mixed in with the comedy."
the goat,1921,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Keaton_Goat_1921.jpg,"The Goat is a 1921 American two-reel silent comedy film written, and co-directed by Malcolm St. Clair and Buster Keaton and starring Keaton."
sherlock jr.,1924,,https://upload.wikimedia.org/wikipedia/commons/c/c1/Sherlock_jr_poster.jpg,"Sherlock Jr. is a 1924 American silent comedy film directed by and starring Buster Keaton and written by Clyde Bruckman, Jean Havez, and Joseph A. Mitchell. It features Kathryn McGuire, Joe Keaton, and Ward Crane."
the navigator,1924,,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_Navigator_%281924%29_Window_Card.jpg,"The Navigator is a 1924 American comedy film directed by and starring Buster Keaton. The film was written by Clyde Bruckman and co-directed by Donald Crisp. In 2018, the film was selected for preservation in the United States National Film Registry by the Library of Congress as being ""culturally, historically, or aesthetically significant."""
the gold rush,1925,,https://upload.wikimedia.org/wikipedia/commons/4/4d/Gold_rush_poster.jpg,"The Gold Rush is a 1925 American silent comedy film written, produced, and directed by Charlie Chaplin. The film also stars Chaplin in his Little Tramp persona, Georgia Hale, Mack Swain, Tom Murray, Henry Bergman and Malcolm Waite."
the general,1926,,https://upload.wikimedia.org/wikipedia/commons/0/0c/The_General_%281926%29_-_Movie_Poster_2.png,"The General is a 1926 American silent comedy film released by United Artists. It was inspired by the Great Locomotive Chase, a true story of an event that occurred during the American Civil War. The story was adapted from the 1889 memoir The Great Locomotive Chase by William Pittenger. The film stars Buster Keaton, who also co-directed it along with Clyde Bruckman."
7th heaven,1927,,https://upload.wikimedia.org/wikipedia/commons/f/fa/7th_Heaven_%281927_poster%29.jpg,"7th Heaven is a 1927 American synchronized sound romantic drama directed by Frank Borzage, and starring Janet Gaynor and Charles Farrell. While the film has no audible dialogue, it was released with a synchronized musical score with sound effects using the Movietone sound system. The film is based upon the 1922 play Seventh Heaven, by Austin Strong and was adapted for the screen by Benjamin Glazer. 7th Heaven was initially released as a standard silent film in May 1927. On September 10, 1927, Fox Film Corporation re-released the film with a synchronized Movietone soundtrack with a musical score and sound effects."
sunrise,1927,,,
the cameraman,1928,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Poster_for_The_Cameraman_%281928%29.jpg,The Cameraman is a 1928 American silent romantic comedy film directed by Edward Sedgwick and an uncredited Buster Keaton. The picture stars Keaton and Marceline Day.
the circus,1928,,https://upload.wikimedia.org/wikipedia/commons/4/4f/The_Circus_%281928%29_-_Hap_Hadley_poster.jpg,"The Circus is a 1928 silent romantic comedy film written, produced, and directed by Charlie Chaplin. The film stars Chaplin, Al Ernest Garcia, Merna Kennedy, Harry Crocker, George Davis and Henry Bergman. The ringmaster of an impoverished circus hires Chaplin's Little Tramp as a clown, but discovers that he can only be funny unintentionally."
the crowd,1928,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Crowd_1928_film_poster.jpg,"The Crowd is a 1928 American silent drama film directed by King Vidor and starring James Murray, Eleanor Boardman and Bert Roach. The feature film was nominated at the first Academy Award presentation in 1929 for several awards, including Unique and Artistic Production for MGM and Best Director for Vidor. The film is widely regarded by critics and historians as one of the greatest films ever made and a landmark of silent-era cinema."
animal crackers,1930,,https://upload.wikimedia.org/wikipedia/commons/6/6d/Animal_Crackers_Movie_Poster_%28Better_Quality%29.jpg,"Animal Crackers is a 1930 American pre-Code comedy film starring the Marx Brothers and directed by Victor Heerman. It is based on the brothers' 1928 musical Animal Crackers by George S. Kaufman and Morrie Ryskind, with songs by Bert Kalmar and Harry Ruby. The screenplay was adapted by Morrie Ryskind. The film features Groucho, Harpo, Chico, and Zeppo Marx alongside Margaret Dumont and Lillian Roth. Set at a Long Island society party honoring eccentric African explorer Captain Jeffrey T. Spaulding (Groucho), the film serves as a vehicle for the Marx Brothers' comedy and absurdist routines, with a minimal plot loosely structured around the theft of a valuable painting."
little caesar,1931,,https://upload.wikimedia.org/wikipedia/commons/3/36/Little_Caesar_%281931_film_poster_-_Style_A%29.jpg,"Little Caesar is a 1931 American pre-Code crime film distributed by Warner Bros. Pictures, directed by Mervyn LeRoy, and starring Edward G. Robinson, Douglas Fairbanks Jr. and Glenda Farrell. The film tells the story of a hoodlum who ascends the ranks of organized crime until he reaches its upper echelons."
grand hotel,1932,,https://upload.wikimedia.org/wikipedia/commons/d/d6/GrandHotelFilmPoster.jpg,"Grand Hotel is a 1932 American drama film directed by Edmund Goulding and produced by Metro-Goldwyn-Mayer. The screenplay by William A. Drake is based on the 1930 play by Drake, who had adapted it from the 1929 novel Menschen im Hotel by Vicki Baum."
king kong,1933,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Kingkongposter.jpg,"King Kong is a 1933 American pre-Code adventure horror monster film directed and produced by Merian C. Cooper and Ernest B. Schoedsack, with special effects by Willis H. O'Brien and music by Max Steiner. Produced and distributed by RKO Radio Pictures, King Kong is the first film in the self-titled franchise, combining live-action sequences with stop-motion animation using rear-screen projection. The idea for the film came when Cooper decided to create a motion picture about a giant gorilla struggling against modern civilization. The film stars Fay Wray, Robert Armstrong, and Bruce Cabot. The story follows said gorilla dubbed Kong who feels affection for a beautiful young woman offered to him as a sacrifice."
baby face,1933,,https://upload.wikimedia.org/wikipedia/commons/1/18/Baby_Face_%281933_film_poster%29_crop.jpg,"Baby Face is a 1933 American pre-Code romantic comedy drama film directed by Alfred E. Green for Warner Bros. Pictures, starring Barbara Stanwyck as Lily Powers, and featuring George Brent. Based on a story by Darryl F. Zanuck, Baby Face portrays a young woman who uses sex to advance her social and financial status. Twenty-five-year-old John Wayne appears briefly as one of Powers's lovers."
duck soup,1933,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Duck_Soup_%281933_poster%2C_Style_B_half_sheet%29.jpeg,"Duck Soup is a 1933 American pre-Code musical comedy film written by Bert Kalmar and Harry Ruby and directed by Leo McCarey. Released by Paramount Pictures on November 17, 1933, it stars the four Marx Brothers and also features Margaret Dumont, Louis Calhern, Raquel Torres and Edgar Kennedy."
she done him wrong,1933,,https://upload.wikimedia.org/wikipedia/commons/c/c8/She_Done_Him_Wrong_%281933_poster%29.jpg,"She Done Him Wrong is a 1933 pre-Code American crime/comedy film starring Mae West and Cary Grant, directed by Lowell Sherman. The plot includes melodramatic and musical elements, with a supporting cast featuring Owen Moore, Gilbert Roland, Noah Beery Sr., Rochelle Hudson, and Louise Beavers. The film was adapted from the successful 1928 Broadway play Diamond Lil by Mae West. The film is famous for West's many double entendres and quips, including her best-known ""Why don't you come up sometime and see me?"". She Done Him Wrong was a box-office success and the film was nominated for the Academy Award for Best Picture."
it happened one night,1934,,https://upload.wikimedia.org/wikipedia/commons/d/dc/It-happened-one-night-poster.jpg,"It Happened One Night is a 1934 American screwball comedy film produced and directed by Frank Capra. Claudette Colbert stars as a pampered socialite who tries to get out from under her father's thumb and falls in love with a roguish reporter, played by Clark Gable."
the thin man,1934,,https://upload.wikimedia.org/wikipedia/commons/7/7e/The_Thin_Man_1934_Poster.jpg,"The Thin Man is a 1934 American pre-Code comedy-mystery film directed by W. S. Van Dyke and based on the 1934 novel by Dashiell Hammett. The film stars William Powell and Myrna Loy as Nick and Nora Charles, a leisure-class couple who enjoy copious drinking and flirtatious banter. Nick is a retired private detective who left his very successful career when he married Nora, a wealthy heiress accustomed to high society. Their wire-haired fox terrier Asta was played by canine actor Skippy."
a night at the opera,1935,,https://upload.wikimedia.org/wikipedia/commons/a/aa/A_Night_at_the_Opera_film_poster.jpg,"A Night at the Opera is a 1935 American comedy film starring the Marx Brothers, and featuring Kitty Carlisle, Allan Jones, Margaret Dumont, Sig Ruman, and Walter Woolf King."
mutiny on the bounty,1935,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Mutiny_on_the_Bounty_poster.jpg,"Mutiny on the Bounty is a 1935 American historical adventure drama film directed by Frank Lloyd and produced by Metro-Goldwyn-Mayer. It dramatizes the mutiny of HMS Bounty, and is adapted from the novels Mutiny on the Bounty and Men Against the Sea by Charles Nordhoff and James Norman Hall. It stars Charles Laughton as William Bligh, Clark Gable as Fletcher Christian, and Franchot Tone as Roger Byam."
mr. deeds goes to town,1936,,https://upload.wikimedia.org/wikipedia/commons/4/47/Mr._Deeds_Goes_to_Town_%281936%29_Window_Card_Poster_%28cropped%29.jpg,"Mr. Deeds Goes to Town is a 1936 American romantic comedy-drama film produced and directed by Frank Capra and starring Gary Cooper and Jean Arthur in her first featured role. Based on the 1935 short story ""Opera Hat"" by Clarence Budington Kelland, which appeared in serial form in The American Magazine, the screenplay was written by Robert Riskin in his fifth collaboration with Capra."
modern times,1936,,https://upload.wikimedia.org/wikipedia/commons/3/36/Modern_Times_poster.jpg,"Modern Times is a 1936 American part-talkie satirical slapstick comedy film produced, scored, co-edited, written and directed by Charlie Chaplin. In Chaplin's last performance as the iconic Little Tramp, his character struggles to survive in the modern, industrialized world. The film also stars Paulette Goddard, Henry Bergman, Tiny Sandford and Chester Conklin."
my man godfrey,1936,,https://upload.wikimedia.org/wikipedia/commons/f/f1/My_Man_Godfrey_%281936_poster_-_Style_C%29.jpg,"My Man Godfrey is a 1936 American screwball comedy film directed by Gregory La Cava and starring William Powell and Carole Lombard, who had been briefly married years before appearing together in the film. The screenplay for My Man Godfrey was written by Morrie Ryskind and Eric S. Hatch, with uncredited contributions by La Cava, based on Hatch's 1935 novel, 1101 Park Avenue. The story concerns a socialite who hires a derelict to be her family's butler, and then falls in love with him."
swing time,1936,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Swing_Time_%281936_poster%29.jpg,"Swing Time is a 1936 American musical comedy film, the sixth of ten starring Fred Astaire and Ginger Rogers. Directed by George Stevens for RKO, it features Helen Broderick, Victor Moore, Betty Furness, Eric Blore and Georges Metaxa, with music by Jerome Kern and lyrics by Dorothy Fields. Set mainly in New York City, the film follows a gambler and dancer, ""Lucky"" (Astaire), who is trying to raise money to secure his marriage when he meets a dance instructor, Penny (Rogers), and begins dancing with her; the two soon fall in love and are forced to reconcile their feelings."
the awful truth,1937,,https://upload.wikimedia.org/wikipedia/commons/3/30/The_Awful_Truth_%281937_poster%29.jpg,"The Awful Truth is a 1937 American screwball comedy film directed by Leo McCarey, and starring Irene Dunne and Cary Grant. Based on the 1922 play The Awful Truth by Arthur Richman, the film recounts a distrustful rich couple who begin divorce proceedings, only to interfere with one another's romances."
the life of emile zola,1937,,https://upload.wikimedia.org/wikipedia/commons/7/7c/The_Life_of_Emile_Zola_%281937_film_poster%29.jpg,The Life of Emile Zola is a 1937 American biographical film about the 19th-century French author Émile Zola starring Paul Muni and directed by William Dieterle.
bringing up baby,1938,,https://upload.wikimedia.org/wikipedia/commons/2/20/Bringing_Up_Baby_%281938_poster%29.jpg,"Bringing Up Baby is a 1938 American screwball comedy film directed by Howard Hawks, and starring Katharine Hepburn and Cary Grant. It was released by RKO Radio Pictures. The film tells the story of a paleontologist in a number of predicaments involving a scatterbrained heiress and a leopard named Baby. The screenplay was adapted by Dudley Nichols and Hagar Wilde from a short story by Wilde which originally appeared in Collier's Weekly magazine in April 1937."
holiday,1938,,https://upload.wikimedia.org/wikipedia/en/4/4c/Holiday_poster.jpg,"Holiday is a 1938 American romantic screwball comedy film directed by George Cukor, a remake of the 1930 film of the same name."
you cant take it with you,1938,,,
